,순번,구분,타입,계약면적(㎡),전용면적(㎡),대지면적(㎡),매매가,보증금 (단위: 만원),월세(단위:만원),주소,기타(세부주소)
285,286,명지동,월세,165.45,103.09,-,-,1500,70,부산시 강서구 명지동 일반상가,일반상가5층
286,287,명지동,월세,181,104,-,-,1000,70,부산시 강서구 명지동 일반상가,일반상가7층
287,288,명지동,월세,222.75,179.73,-,-,3000,140,부산시 강서구 명지동 일반상가,일반상가9층
288,289,명지동,월세,184,106,-,-,2000,140,부산시 강서구 명지동 일반상가 퍼스트삼융,일반상가 퍼스트삼융3층
289,290,명지동,월세,165.02,165.02,-,-,3000,250,부산시 강서구 명지동 단지내상가,단지내상가1층
290,291,명지동,월세,230,133,-,-,2000,100,부산시 강서구 명지동 일반상가 플러스존1,일반상가 플러스존12층
291,292,명지동,월세,317.45,179.73,-,-,3000,140,부산시 강서구 명지동 일반상가,일반상가9층
292,293,명지동,월세,221.79,133.75,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가8층
293,294,명지동,월세,296.02,256.62,-,-,7000,600,부산시 강서구 명지동 일반상가,일반상가1층
294,295,명지동,월세,167.49,104.4,-,-,2000,80,부산시 강서구 명지동 일반상가,일반상가3층
295,296,명지동,월세,201.87,151.2,-,-,2000,150,부산시 강서구 명지동 중소형사무실,중소형사무실3층
296,297,명지동,월세,200,130,-,-,3000,150,부산시 강서구 명지동 일반상가 음식점하기 좋은 코너상가 포스코 바,일반상가 음식점하기 좋은 코너상가 포스코 바3층
297,298,명지동,월세,165.45,103.09,-,-,1000,60,부산시 강서구 명지동 일반상가,일반상가6층
298,299,명지동,월세,175.17,140,-,-,2000,170,부산시 강서구 명지동 일반상가,일반상가2층
299,300,명지동,월세,182,105,-,-,2000,100,부산시 강서구 명지동 중소형사무실,중소형사무실2층
300,301,명지동,월세,287.6,167.96,-,-,2000,90,부산시 강서구 명지동 일반상가1,일반상가11층
301,302,명지동,월세,296.54,176.26,-,-,2000,130,부산시 강서구 명지동 일반상가,일반상가6층
302,303,명지동,월세,183,109,-,-,1000,60,부산시 강서구 명지동 일반상가 플러스존2,일반상가 플러스존23층
303,304,명지동,월세,182.11,105,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가2층
304,305,명지동,월세,280.03,163.54,-,-,2000,80,부산시 강서구 명지동 일반상가,일반상가6층
305,306,명지동,월세,167.83,74.12,-,-,2000,130,부산시 강서구 명지동 중소형사무실1,중소형사무실14층
306,307,명지동,월세,243,243,-,-,6000,300,부산시 강서구 명지동 일반상가,일반상가3층
307,308,명지동,월세,1425.69,779.34,-,-,20000,1000,부산시 강서구 명지동 일반상가1,일반상가11층
308,309,명지동,월세,214.24,124.7,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가4층
309,310,명지동,월세,191.7,132.2,-,-,3000,180,부산시 강서구 명지동 일반상가,일반상가1층
310,311,명지동,월세,219.96,134.01,-,-,3000,130,부산시 강서구 명지동 일반상가,일반상가3층
311,312,명지동,월세,195.03,113.74,-,-,2000,80,부산시 강서구 명지동 일반상가 대명프라자,일반상가 대명프라자2층
312,313,명지동,월세,296.02,256.62,-,-,5000,600,부산시 강서구 명지동 일반상가,일반상가1층
313,314,명지동,월세,167.83,74.12,-,-,2000,130,부산시 강서구 명지동 중소형사무실,중소형사무실9층
314,315,명지동,월세,186,110,-,-,1500,65,부산시 강서구 명지동 일반상가 플러스존2,일반상가 플러스존23층
315,316,명지동,월세,611.67,330,-,-,10000,550,부산시 강서구 명지동 일반상가,일반상가2층
316,317,명지동,월세,519.52,259.76,-,-,4000,200,부산시 강서구 명지동 일반상가,일반상가9층
317,318,명지동,월세,1738.86,1012.08,-,-,10000,800,부산시 강서구 명지동 일반상가1,일반상가10층
318,319,명지동,월세,1083.03,1083.03,-,-,30000,1000,부산시 강서구 명지동 복합상가,복합상가2층
319,320,명지동,월세,354.7,156.65,-,-,4000,280,부산시 강서구 명지동 대형사무실1,대형사무실14층
320,321,명지동,월세,345,206,-,-,4000,240,부산시 강서구 명지동 일반상가,일반상가2층
321,322,명지동,월세,-,-,1324.9,-,4000,400,부산시 강서구 명지동 주차장,주차장
322,323,명지동,월세,261.1,153.7,-,-,2000,180,부산시 강서구 명지동 일반상가 포르스빌,일반상가 포르스빌1층
323,324,명지동,월세,492,73,-,-,3000,160,부산시 강서구 명지동 일반상가,일반상가1층
324,325,명지동,월세,406.66,226.57,-,-,3000,150,부산시 강서구 명지동 일반상가,일반상가9층
325,326,명지동,월세,277.8,211.7,-,-,5000,400,부산시 강서구 명지동 일반상가,일반상가1층
326,327,명지동,월세,282,250,-,-,3000,160,부산시 강서구 명지동 일반상가 씨엘주차타워,일반상가 씨엘주차타워2층
327,328,명지동,월세,931.1,88.92,-,-,2000,100,부산시 강서구 명지동 복합상가,복합상가3층
328,329,명지동,월세,264.46,155.37,-,-,3500,190,부산시 강서구 명지동 복합상가 G타워,복합상가 G타워3층
329,330,명지동,월세,165.45,103.09,-,-,1000,70,부산시 강서구 명지동 중소형사무실,중소형사무실5층
330,331,명지동,월세,280,163.5,-,-,2000,110,부산시 강서구 명지동 일반상가 플러스타워1,일반상가 플러스타워10층
331,332,명지동,월세,196,113,-,-,3000,100,부산시 강서구 명지동 중소형사무실 퍼스트삼융,중소형사무실 퍼스트삼융4층
332,333,명지동,월세,232.86,140,-,-,2000,170,부산시 강서구 명지동 일반상가,일반상가2층
333,334,명지동,월세,165.02,165.02,-,-,4000,330,부산시 강서구 명지동 일반상가,일반상가1층
334,335,명지동,월세,258.84,246.86,-,-,5000,250,부산시 강서구 명지동 일반상가,일반상가9층
335,336,명지동,월세,374.9,374.9,-,-,5000,350,부산시 강서구 명지동 일반상가,일반상가7층
336,337,명지동,월세,258.84,246.86,-,-,5000,250,부산시 강서구 명지동 일반상가,일반상가9층
337,338,명지동,월세,297,180,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가4층
338,339,명지동,월세,300,57,-,-,1500,80,부산시 강서구 명지동 일반상가,일반상가2층
339,340,명지동,월세,273,186.48,-,-,3000,160,부산시 강서구 명지동 일반상가,일반상가7층
340,341,명지동,월세,345.81,183.48,-,-,5000,450,부산시 강서구 명지동 일반상가,일반상가2층
341,342,명지동,월세,345.81,183.48,-,-,5000,450,부산시 강서구 명지동 일반상가,일반상가2층
342,343,명지동,월세,273,186.48,-,-,5000,230,부산시 강서구 명지동 일반상가,일반상가2층
