선사코드,선사명,접안시간,출항시간,체류시간,체류시간_day,체류시간_time,체류시간_totalTime(시간),상태
MAE,CORNELIUS MAERSK,2015-04-18 16:00,2015-04-19 9:00,0 days 17:00:00,0,17,17,DEPARTED
APL,COLOMBO SKX,2015-04-19 1:00,2015-04-19 9:00,0 days 08:00:00,0,8,8,DEPARTED
SKR,HAN SE,2015-04-19 1:00,2015-04-19 9:00,0 days 08:00:00,0,8,8,DEPARTED
APL,APL SINGAPORE,2015-04-19 11:00,2015-04-20 0:00,0 days 13:00:00,0,13,13,DEPARTED
HMM,HYUNDAI HONGKONG,2015-04-19 12:00,2015-04-20 4:00,0 days 16:00:00,0,16,16,DEPARTED
MAE,MAERSK KOBE,2015-04-20 10:00,2015-04-20 20:00,0 days 10:00:00,0,10,10,DEPARTED
HMM,HYUNDAI VOYAGER,2015-04-20 17:00,2015-04-21 5:00,0 days 12:00:00,0,12,12,DEPARTED
APL,APL DETROIT,2015-04-20 18:00,2015-04-21 12:00,0 days 18:00:00,0,18,18,DEPARTED
NYK,NYK LODESTAR,2015-04-20 22:00,2015-04-21 15:00,0 days 17:00:00,0,17,17,DEPARTED
MAE,MARY MAERSK,2015-04-21 8:50,2015-04-22 9:00,1 days 00:10:00,1,0,24,DEPARTED
HLC,HANOVER EXPRESS,2015-04-21 15:00,2015-04-22 14:00,0 days 23:00:00,0,23,23,DEPARTED
HAS,NOVA JST1,2015-04-21 16:00,2015-04-21 21:00,0 days 05:00:00,0,5,5,DEPARTED
NYK,NYK METEOR,2015-04-21 23:00,2015-04-22 16:00,0 days 17:00:00,0,17,17,DEPARTED
OOL,PRETORIA NPS,2015-04-22 11:20,2015-04-22 19:00,0 days 07:40:00,0,7,7,DEPARTED
SKR,SINOKOR ULSAN,2015-04-22 15:00,2015-04-22 18:00,0 days 03:00:00,0,3,3,DEPARTED
BLA,HANJIN MUNDRA,2015-04-22 22:00,2015-04-23 17:00,0 days 19:00:00,0,19,19,DEPARTED
APL,COLOMBO SKX,2015-04-23 8:20,2015-04-23 19:00,0 days 10:40:00,0,10,10,DEPARTED
APL,APL CHINA,2015-04-23 9:15,2015-04-23 22:00,0 days 12:45:00,0,12,12,DEPARTED
SKR,SINOKOR INCHEON,2015-04-23 12:00,2015-04-23 15:00,0 days 03:00:00,0,3,3,DEPARTED
APL,SIMA SAPPHIRE,2015-04-23 17:00,2015-04-24 4:00,0 days 11:00:00,0,11,11,DEPARTED
SKR,30 HAN,2015-04-23 23:30,2015-04-24 3:00,0 days 03:30:00,0,3,3,DEPARTED
HAS,NOVA JST1,2015-04-24 0:43,2015-04-24 3:00,0 days 02:17:00,0,2,2,DEPARTED
MAE,SALLY MAERSK,2015-04-24 6:10,2015-04-24 14:00,0 days 07:50:00,0,7,7,DEPARTED
CKL,SKY DUKE,2015-04-24 7:30,2015-04-24 11:00,0 days 03:30:00,0,3,3,DEPARTED
BLA,KATRIN S,2015-04-24 11:00,2015-04-24 23:00,0 days 12:00:00,0,12,12,DEPARTED
SKR,SINOKOR ULSAN,2015-04-25 14:30,2015-04-25 20:00,0 days 05:30:00,0,5,5,DEPARTED
SKR,HAN PO,2015-04-25 17:00,2015-04-25 21:00,0 days 04:00:00,0,4,4,DEPARTED
MAE,CLIFFORD MAERSK,2015-04-25 19:10,2015-04-26 12:00,0 days 16:50:00,0,16,16,DEPARTED
ZIM,ZIM DJIBOUTI,2015-04-25 22:00,2015-04-26 15:00,0 days 17:00:00,0,17,17,DEPARTED
SKR,HAN SE,2015-04-26 0:20,2015-04-26 5:00,0 days 04:40:00,0,4,4,DEPARTED
APL,COLOMBO SKX,2015-04-26 1:00,2015-04-26 9:00,0 days 08:00:00,0,8,8,DEPARTED
NYK,NYK RIGEL,2015-04-26 13:00,2015-04-27 7:00,0 days 18:00:00,0,18,18,DEPARTED
MAE,MAERSK GIRONDE,2015-04-26 16:00,2015-04-27 3:00,0 days 11:00:00,0,11,11,DEPARTED
MAE,O.M.AGARUM ALS,2015-04-26 19:00,2015-04-27 1:00,0 days 06:00:00,0,6,6,DEPARTED
APL,APL SANTIAGO,2015-04-27 4:10,2015-04-28 2:00,0 days 21:50:00,0,21,21,DEPARTED
MOL,MOL PRESTIGE,2015-04-27 5:00,2015-04-28 2:00,0 days 21:00:00,0,21,21,DEPARTED
HMM,HYUNDAI TOKYO,2015-04-27 10:00,2015-04-28 12:00,1 days 02:00:00,1,2,26,DEPARTED
MAE,RDO CONCORD,2015-04-28 4:20,2015-04-28 23:00,0 days 18:40:00,0,18,18,DEPARTED
MAE,MARSTAL MAERSK,2015-04-28 5:00,2015-04-29 15:00,1 days 10:00:00,1,10,34,DEPARTED
